index,problem,answer
5.1.2,"A boy has a piggybank, it has 10 dollars and the boy takes 2 dollars from the piggybank. A mother gives the piggybank 3 dollars. How many dollars does the piggybank have?",11
5.1.3,"There is a bowl with 3 bananas, a child takes 1 banana from the bowl and a father gives 5 bananas to the bowl. How many bananas does the bowl have?",7
5.1.4,There is a box with 8 eggs and a man takes 2 eggs from the box before a woman places 3 eggs in the box. How many eggs does the box have?,9
5.2.1,A girl has 2 bags with 2 marbles in each bag and a man has 2 bags with 3 marbles in each bag. The man loses 1 marble and the girl finds the marble. How many marbles does the girl have?,5
5.2.2,A man has 2 pockets with 3 coins in each pocket and agirl has 3 pockets with 2 coins in each pocket. The girl loses 2 coins and the man finds 2 coins. How many coins does the man have?,8
5.2.3,A teacher has 3 cups with 5 pens in each cup. A student has 2 cups with 7 pens in each cup. The student loses 3 pens and the teacher finds 3 pens. How many pens does the teacher have?,18
5.2.4,A rabbit has 2 holes with 8 carrots in each hole and a child has 2 pockets with 2 carrots in each pocket. The child loses 1 carrot and the rabbit finds the carrot. How many carrots does the rabbit have?,17
6.1.1,There are 2 chalkboards. If there is a chalkboard then it needs 2 chalks. How many chalks do the chalkboards need?,4
6.1.2,There are 5 cars and if there is a car then it needs 4 wheels. How many wheels do the cars need?,20
6.1.3,There are 5 children and if there is a child then the child needs 2 shoes. How many shoes do the children need?,10
6.1.4,There are 5 tables and if there is a table then it needs 4 chairs. How many chairs do the tables need?,20
6.2.1,There are 3 chalkboards. Each chalkboard has 2 chalks and a man removes 1 chalk from every chalkboard. How many chalks do the chalkboards have?,3
6.2.2,There are 5 cars. Each car has 4 wheels. A man removes 2 wheels from every car. How many wheels do the cars have?,10
6.2.3,There are 2 spiders. Each spider has 8 legs and a child removes 3 legs from every spider. How many legs do the spiders have?,10
6.2.4,There are 5 trees. Each tree has 10 branches and a farmer removes 2 branches from every tree. How many branches do the trees have?,40
