index,problem,answer
2.4.1,A girl has 25 coins. The girl gives 6 coins to a friend. The girl gives 12 coins to a mother. How many coins does the girl have?,7
2.4.1,A boy has 25 books. The boy gives 3 books to a friend. The boy gives 9 books to a teacher. How many books does the boy have?,13
3.1.1,There is a boy. There is a girl. A man has 4 pieces. If he has 2 pieces then the girl gets 1 piece from the man and the boy gets 1 piece from the man. How many pieces does the boy have?,2
3.1.2,There is a man. There is a woman. A bread has 24 slices. If a bread has 2 slices then the man gets 1 slice of the bread and the woman gets 1 slice of the bread. How many slices does the woman have?,12
3.1.3,There is a mother. There is a father. A bottle has 6 glasses. If a bottle has 2 glasses then the father gets 1 glass from the bottle and the mother gets 1 glass from the bottle. How many glasses does the mother have?,3
3.1.4,There is a boyfriend. There is a girlfriend. A wallet has 100 euros. If the wallet has 2 euros then the boyfriend gets 1 euro from the wallet and the girlfriend gets 1 euro from the wallet. How many euros does the boyfriend have?,50
3.2.1,A man has 10 tickets. If he has 5 tickets then he gets a ride. How many rides does he get?,2
3.2.2,A school has 100 students. If it has 25 students then it gets a class. How many classes does the school have?,4
3.2.3,A woman has 100 coupons. If she has 20 coupons then she has 1 plate. How many plates does she get?,5
3.2.4,A boy works 48 weeks. If he works 4 weeks then he has 1 free day. How many free days does the boy have?,12
3.3.1,A man has 1000 euros. If the man has at least 50 euros then he buys a laptop. How many laptops does the man buy?,200
3.3.2,A woman has 12 eggs. If she has 2 eggs then she bakes a cake. How many cakes does the woman bake?,6
3.3.3,An athlete runs 60 minutes. If the athlete runs 10 minutes then the athlete runs 3 laps. How many laps does the athlete run?,18
3.3.4,A student has 500 euros. If the student has at least 250 euros then the student buys a bike. How many bikes does the student have?,2
3.4.1,A man has 1000 euros. If he has at least 50 euros then he buys a laptop for 50 euros. How many euros does the man have?,0
3.4.2,A woman has 500 dollars. If she has at least 28 dollars then she buys a lipstick for 28 dollars. How many dollars does the woman have?,24
3.4.3,A man has 100 dollars. If he has at least 30 dollars then he buys a game for 30 dollars. How many dollars does the man have?,10
3.4.4,A woman has 200 euros. If she has at least 80 euros then she buys a handbag for 80 euros. How many euros does the woman have?,40
4.1.1,A man has 2 cards. Each of the cards has 2 hearts. How many hearts do the cards have?,42
4.1.2,A student has 3 books. Each of the books has 14 chapters. How many chapters does the student have to read?,4
4.1.3,A grandmother has 7 grandchildren. Each grandchild wants two toys. How many toys does the grandmother buy?,14
4.1.4,A house has 5 doors. Each door has 3 locks. How many locks does the house have?,15
4.2.1,A theatre has 25 rows. Each row has 20 seats. How many seats does the theatre have?,500
4.2.2,A school has 14 classrooms. Each classroom has 28 chairs. How many chairs does the school have?,392
4.2.3,A bunny has 2 baskets. Each basket has 14 eggs. How many eggs does the bunny have?,28
4.2.4,An influencer has two accounts. Each account has 500 followers. How many followers does the influencer have?,1000
4.3.1,An area has 10 rows. Each row has 10 columns. Each column has 2 flowers. How many flowers does the area have?,200
4.3.2,A store has 52 cars. Each car has 4 doors. Each door has 1 handle. How many handles does the store have?,208
4.3.3,A street has 10 houses. Each house has 3 stairs. Each stair has 10 steps. How many steps does the street have?,300
4.3.4,A man has 2 women. Each woman has 3 kids. Each kid needs 1 coat. How many coats does the man have to buy?,6
4.4.1,A year has 365 days. Each day has 24 hours. Each hour has 60 minutes. Each minute has 60 seconds. How many seconds does a year have?,31536000
4.4.2,A year has 52 weeks. Each week has 7 days. Each day has 24 hours. Each hour has 60 minutes. How many minutes does a year have?,1440
4.4.3,A school has 15 classes. Each class has 25 students. Each student has 2 legs. Each leg has 1 shoe. How many shoes does a school have?,750
4.4.4,A village has 50 streets. Each street has 15 houses. Each house has 5 beds. Each bed has 1 pillow. How many pillows does a village have?,3750
5.1.1,There is a library. It has 235 books. A man takes 12 books from the library. A girl gives 10 books to the library. How many books does the library have?,233
5.1.2,A boy has a piggybank. It has 10 dollars. The boy takes 2 dollars from the piggybank. A mother gives the piggybank 3 dollars. How many dollars does the piggybank have?,11
5.1.3,There is a bowl. It has 3 bananas. A child takes 1 banana from the bowl. A father gives 5 bananas to the bowl. How many bananas does the bowl have?,7
5.1.4,There is a box. It has 8 eggs. A man takes 2 eggs from the box. A woman places 3 eggs in the box. How many eggs does the box have?,9
5.2.1,A girl has 2 bags with 2 marbles in each bag. A man has 2 bags with 3 marbles in each bag. The man loses 1 marble and the girl finds the marble. How many marbles does the girl have?,5
5.2.2,A man has 2 pockets with 3 coins in each pocket. A girl has 3 pockets with 2 coins in each pocket. The girl loses 2 coins and the man finds 2 coins. How many coins does the man have?,8
5.2.3,A teacher has 3 cups with 5 pens in each cup. A student has 2 cups with 7 pens in each cup. The student loses 3 pens and the teacher finds 3 pens. How many pens does the teacher have?,18
5.2.4,A rabbit has 2 holes with 8 carrots in each hole. A child has 2 pockets with 2 carrots in each pocket. The child loses 1 carrot and the rabbit finds the carrot. How many carrots does the rabbit have?,17
6.1.1,There are 2 chalkboards. If there is a chalkboard then it needs 2 chalks. How many chalks do the chalkboards need?,4
6.1.2,There are 5 cars. If there is a car then it needs 4 wheels. How many wheels do the cars need?,20
6.1.3,There are 5 children. If there is a child then the child needs 2 shoes. How many shoes do the children need?,10
6.1.4,There are 5 tables. If there is a table then it needs 4 chairs. How many chairs do the tables need?,20
6.2.1,There are 3 chalkboards. Each chalkboard has 2 chalks. A man removes 1 chalk from every chalkboard. How many chalks do the chalkboards have?,3
6.2.2,There are 5 cars. Each car has 4 wheels. A man removes 2 wheels from every car. How many wheels do the cars have?,10
6.2.3,There are 2 spiders. Each spider has 8 legs. A child removes 3 legs from every spider. How many legs do the spiders have?,10
6.2.4,There are 5 trees. Each tree has 10 branches. A farmer removes 2 branches from every tree. How many branches do the trees have?,40
