index,problem,answer
4.4.4,A village had 50 streets. Each street had 15 houses. Each house had 5 beds. Each bed had 1 pillow. How many pillows did the village have?,3750
5.1.1,There was a library. It had 235 books. A man toke 12 books from the library. A girl gave 10 books to the library. How many books did the library have?,233
5.1.2,A boy had a piggybank. It had 10 dollars. The boy toke 2 dollars from the piggybank. A mother gave the piggybank 3 dollars. How many dollars did the piggybank have?,11
5.1.3,There was a bowl. It had 3 bananas. A child toke 1 banana from the bowl. A father gave 5 bananas to the bowl. How many bananas did the bowl have?,7
5.1.4,There was a box. It had 8 eggs. A man toke 2 eggs from the box. A woman put 3 eggs in the box. How many eggs did the box have?,9
5.2.1,A girl had 2 bags with 2 marbles in each bag. A man had 2 bags with 3 marbles in each bag. The man lost 1 marble and the girl found the marble. How many marbles did the girl have?,5
5.2.2,A man had 2 pockets with 3 coins in each pocket. A girl had 3 pockets with 2 coins in each pocket. The girl lost 2 coins and the man found 2 coins. How many coins did the man have?,8
5.2.3,A teacher had 3 cups with 5 pens in each cup. A student had 2 cups with 7 pens in each cup. The student lost 3 pens and the teacher found 3 pens. How many pens did the teacher have?,18
5.2.4,A rabbit had 2 holes with 8 carrots in each hole. A child had 2 pockets with 2 carrots in each pocket. The child lost 1 carrot and the rabbit found the carrot. How many carrot did the rabbit have?,17
6.1.1,There were 2 chalkboards. If there is a chalkboard then it needed 2 chalks. How many chalks do the chalkboards need?,4
6.1.2,There were 5 cars. If there was a car then it needed 4 wheels. How many wheels do the cars need?,20
6.1.3,There were 5 children. If there was a child then the child needed 2 shoes. How many shoes do the children need?,10
6.1.4,There were 5 tables. If there was a table then it needed 4 chairs. How many chairs do the tables need?,20
6.2.1,There were 3 chalkboards. Each chalkboard had 2 chalks. A man removed 1 chalk from every chalkboard. How many chalks do the chalkboards have?,3
6.2.2,There were 5 cars. Each car had 4 wheels. A man removed 2 wheels from every car. How many wheels do the cars have?,10
6.2.3,There were 2 spiders. Each spider had 8 legs. A child removed 3 legs from every spider. How many legs do the spiders have?,10
6.2.4,There were 5 trees. Each tree had 10 branches. A farmer removed 2 branches from every tree. How many branches do the trees have?,40
